name,playerID,season,Goals_Scored,Shots_Taken,Avg Shots Taken per Goal
Alexis Sánchez,498,2016,24,129,5.375
Pierre-Emerick Aubameyang,318,2018,22,94,4.273
Pierre-Emerick Aubameyang,318,2019,22,93,4.227
Alexis Sánchez,498,2014,16,122,7.625
Olivier Giroud,502,2015,16,101,6.313
Olivier Giroud,502,2014,14,70,5.0
Alexandre Lacazette,3277,2017,14,67,4.786
Alexis Sánchez,498,2015,13,107,8.231
Alexandre Lacazette,3277,2018,13,81,6.231
Alexandre Lacazette,3277,2020,13,45,3.462
