leagueID,League,season,name,teamID,Games_Played,Wins,Draws,Losses,Goals_Scored,Goals_Conceded,Avg_Shots,Avg_Shots_On_Target,Avg_Fouls,Avg_Corners,Avg_Yellow_Cards,Avg_Red_Cards,Goals_Per_Game,Shots_Per_Goal
2,Serie A,2019,Roma,95,38,21,7,10,77,51,16.97,5.74,14.05,7.03,2.95,0.18,2.03,0.07
2,Serie A,2019,Juventus,98,38,26,5,7,76,43,17.87,6.39,13.18,6.18,2.29,0.08,2.0,0.08
5,Ligue 1,2019,Paris Saint Germain,161,27,22,2,3,75,24,16.59,7.22,12.3,6.7,1.96,0.04,2.78,0.1
4,La Liga,2019,Real Madrid,150,38,26,9,3,70,25,14.82,6.21,12.79,5.05,2.16,0.11,1.84,0.09
1,Premier League,2019,Chelsea,80,38,20,6,12,69,54,16.45,5.87,10.16,6.5,1.58,0.0,1.82,0.09
2,Serie A,2019,Sassuolo,104,38,14,9,15,69,63,14.42,5.21,13.13,5.42,2.63,0.05,1.82,0.08
1,Premier League,2019,Leicester,75,38,18,8,12,67,41,14.21,5.03,11.0,5.84,1.08,0.08,1.76,0.08
3,Bundesliga,2019,Borussia M.Gladbach,130,34,20,5,9,66,40,14.12,5.85,11.71,5.06,2.32,0.09,1.94,0.09
1,Premier League,2019,Manchester United,89,38,18,12,8,66,36,14.32,5.68,11.39,5.37,1.89,0.0,1.74,0.09
4,La Liga,2019,Villarreal,154,38,18,6,14,63,49,13.0,4.55,12.71,3.89,2.05,0.03,1.66,0.07
2,Serie A,2019,AC Milan,111,38,19,9,10,63,46,16.29,5.21,14.32,5.45,2.61,0.16,1.66,0.08
3,Bundesliga,2019,Bayer Leverkusen,119,34,19,6,9,61,44,14.5,5.5,10.94,6.32,1.79,0.18,1.79,0.09
1,Premier League,2019,Tottenham,82,38,16,11,11,61,47,11.68,4.21,11.13,5.26,2.16,0.08,1.61,0.07
2,Serie A,2019,Napoli,105,38,18,8,12,61,50,18.05,6.11,11.13,5.84,1.95,0.05,1.61,0.1
3,Bundesliga,2019,Eintracht Frankfurt,132,34,13,6,15,59,60,14.76,5.15,12.09,6.26,2.12,0.12,1.74,0.09
4,La Liga,2019,Real Sociedad,140,38,16,8,14,56,48,11.29,3.84,13.18,4.76,2.11,0.05,1.47,0.07
1,Premier League,2019,Arsenal,83,38,14,14,10,56,48,10.68,3.97,11.08,6.08,2.26,0.13,1.47,0.07
2,Serie A,2019,Parma Calcio 1913,230,38,14,7,17,56,57,12.18,4.05,13.58,4.37,2.18,0.03,1.47,0.07
4,La Liga,2019,Sevilla,138,38,19,13,6,54,34,12.89,4.58,13.74,5.95,2.58,0.03,1.42,0.08
3,Bundesliga,2019,Hoffenheim,120,34,15,7,12,53,53,13.29,4.76,10.82,5.12,1.94,0.06,1.56,0.09
4,La Liga,2019,Granada,155,38,16,8,14,52,45,10.34,3.37,15.55,4.29,2.89,0.03,1.37,0.06
2,Serie A,2019,Bologna,97,38,12,11,15,52,65,14.66,4.47,15.47,6.0,2.87,0.18,1.37,0.09
2,Serie A,2019,Cagliari,116,38,11,12,15,52,56,11.68,3.74,13.74,4.05,2.87,0.16,1.37,0.07
2,Serie A,2019,Lecce,243,38,9,8,21,52,85,13.84,4.82,12.18,4.79,2.61,0.13,1.37,0.09
3,Bundesliga,2019,FC Cologne,134,34,10,6,18,51,69,12.21,4.47,14.06,5.15,2.32,0.12,1.5,0.09
4,La Liga,2019,Atletico Madrid,143,38,18,16,4,51,27,11.79,3.82,13.5,4.82,2.55,0.08,1.34,0.07
1,Premier League,2019,Southampton,74,38,15,7,16,51,60,13.16,4.76,11.84,5.53,1.39,0.11,1.34,0.09
1,Premier League,2019,Wolverhampton Wanderers,229,38,15,14,9,51,40,12.08,3.84,10.68,5.08,1.5,0.05,1.34,0.08
2,Serie A,2019,Fiorentina,110,38,12,13,13,51,48,14.45,4.82,14.16,5.5,2.79,0.13,1.34,0.09
1,Premier League,2019,West Ham,81,38,10,9,19,49,62,11.05,4.29,10.18,5.0,1.63,0.03,1.29,0.09
3,Bundesliga,2019,Freiburg,135,34,13,9,12,48,47,13.15,4.35,9.44,4.44,1.26,0.06,1.41,0.09
3,Bundesliga,2019,Hertha Berlin,122,34,11,8,15,48,59,10.59,3.59,13.24,3.68,2.29,0.12,1.41,0.07
3,Bundesliga,2019,Wolfsburg,131,34,13,10,11,48,46,13.94,4.68,13.65,4.91,2.09,0.12,1.41,0.1
4,La Liga,2019,Real Betis,153,38,10,11,17,48,60,12.58,4.21,12.45,4.87,2.84,0.24,1.26,0.09
2,Serie A,2019,Sampdoria,102,38,12,6,20,48,65,14.71,4.58,14.71,5.13,2.87,0.18,1.26,0.1
4,La Liga,2019,Levante,151,38,14,7,17,47,53,11.26,3.63,12.29,4.97,2.08,0.13,1.24,0.08
2,Serie A,2019,Genoa,101,38,10,9,19,47,73,11.53,4.08,14.82,4.39,2.82,0.26,1.24,0.09
2,Serie A,2019,Verona,94,38,12,13,13,47,51,11.66,4.08,14.58,5.45,2.29,0.18,1.24,0.09
4,La Liga,2019,Osasuna,157,38,13,13,12,46,54,12.24,3.95,14.32,4.71,2.89,0.16,1.21,0.09
4,La Liga,2019,Valencia,146,38,14,11,13,46,53,8.89,3.16,10.87,4.45,2.13,0.21,1.21,0.07
2,Serie A,2019,Torino,113,38,11,7,20,46,68,11.76,4.03,15.82,4.74,2.53,0.18,1.21,0.09
3,Bundesliga,2019,Augsburg,121,34,9,9,16,45,63,10.68,3.97,10.53,3.91,2.0,0.06,1.32,0.09
3,Bundesliga,2019,Mainz 05,125,34,11,4,19,44,65,13.32,4.24,13.09,5.12,2.21,0.09,1.29,0.1
5,Ligue 1,2019,Monaco,171,28,11,7,10,44,44,13.5,5.0,12.0,4.71,2.18,0.36,1.57,0.11
1,Premier League,2019,Everton,72,38,13,10,15,44,56,12.37,4.26,12.42,5.34,1.84,0.08,1.16,0.1
4,La Liga,2019,Getafe,142,38,14,12,12,43,37,10.84,3.42,18.55,4.87,3.58,0.11,1.13,0.08
1,Premier League,2019,Burnley,92,38,15,9,14,43,50,10.18,3.53,10.84,4.5,1.76,0.0,1.13,0.08
3,Bundesliga,2019,Werder Bremen,123,34,8,7,19,42,69,12.47,4.12,12.85,4.71,2.35,0.12,1.24,0.1
5,Ligue 1,2019,Lyon,178,28,11,7,10,42,27,12.86,4.86,12.18,4.61,1.79,0.14,1.5,0.12
3,Bundesliga,2019,Union Berlin,240,34,12,5,17,41,58,11.82,3.97,15.06,4.03,2.06,0.15,1.21,0.1
4,La Liga,2019,Athletic Club,147,38,13,12,13,41,38,10.82,3.61,13.74,4.71,2.37,0.05,1.08,0.09
5,Ligue 1,2019,Marseille,164,28,16,8,4,41,29,13.39,4.29,13.29,5.39,2.46,0.11,1.46,0.1
5,Ligue 1,2019,Nice,170,28,11,8,9,41,38,12.11,4.71,10.54,4.68,2.11,0.25,1.46,0.11
1,Premier League,2019,Aston Villa,71,38,9,8,21,41,67,12.05,3.89,11.87,5.26,1.79,0.03,1.08,0.09
4,La Liga,2019,Mallorca,239,38,9,6,23,40,65,11.05,3.39,13.37,4.5,2.45,0.13,1.05,0.08
5,Ligue 1,2019,Bordeaux,176,28,9,10,9,40,34,11.11,3.93,13.54,4.89,1.96,0.0,1.43,0.1
1,Premier League,2019,Bournemouth,73,38,9,7,22,40,65,10.18,3.18,9.71,5.11,1.92,0.08,1.05,0.08
4,La Liga,2019,Eibar,156,38,11,9,18,39,56,11.24,3.76,14.16,4.97,2.39,0.08,1.03,0.1
1,Premier League,2019,Brighton,220,38,9,14,15,39,54,12.11,3.71,10.13,4.68,1.47,0.05,1.03,0.1
1,Premier League,2019,Sheffield United,238,38,14,12,12,39,39,9.29,3.03,10.79,5.58,1.61,0.05,1.03,0.08
3,Bundesliga,2019,Schalke 04,124,34,9,12,13,38,58,11.29,3.79,11.06,4.47,1.91,0.06,1.12,0.1
5,Ligue 1,2019,Rennes,163,28,15,5,8,38,24,12.25,4.18,13.82,4.43,1.82,0.04,1.36,0.11
1,Premier League,2019,Newcastle United,86,38,11,11,16,38,58,10.47,3.5,9.74,3.97,1.71,0.08,1.0,0.09
3,Bundesliga,2019,Paderborn,205,34,4,8,22,37,74,12.68,3.79,12.06,5.18,2.5,0.09,1.09,0.1
4,La Liga,2019,Celta Vigo,152,38,7,16,15,37,49,9.68,3.79,12.45,4.63,2.71,0.16,0.97,0.1
2,Serie A,2019,Udinese,99,38,12,9,17,37,51,12.32,3.76,12.97,5.26,1.97,0.08,0.97,0.1
3,Bundesliga,2019,Fortuna Duesseldorf,233,34,6,12,16,36,67,12.59,3.5,11.5,4.35,2.29,0.0,1.06,0.1
1,Premier League,2019,Watford,90,38,8,10,20,36,64,11.11,3.21,12.74,4.39,1.97,0.08,0.95,0.09
5,Ligue 1,2019,Lille,160,28,15,4,9,35,27,12.54,4.64,13.71,5.5,1.82,0.11,1.25,0.13
5,Ligue 1,2019,Montpellier,166,28,11,7,10,35,34,12.61,4.18,15.04,4.64,2.04,0.18,1.25,0.12
2,Serie A,2019,Brescia,242,38,6,7,25,35,79,11.03,3.79,13.0,4.21,2.5,0.16,0.92,0.11
4,La Liga,2019,Alaves,158,38,10,9,19,34,59,8.26,2.74,16.34,3.61,2.87,0.18,0.89,0.08
5,Ligue 1,2019,Brest,241,28,8,10,10,34,37,11.54,3.64,11.75,4.18,1.61,0.07,1.21,0.11
4,La Liga,2019,Real Valladolid,231,38,9,15,14,32,43,9.84,3.21,12.76,4.24,2.13,0.0,0.84,0.1
5,Ligue 1,2019,Strasbourg,225,27,11,5,11,32,32,12.11,4.07,13.56,4.78,1.74,0.04,1.19,0.13
5,Ligue 1,2019,Amiens,224,28,4,11,13,31,50,8.39,2.96,14.39,3.86,2.14,0.14,1.11,0.1
1,Premier League,2019,Crystal Palace,78,38,11,10,17,31,50,9.89,3.16,11.18,4.66,1.61,0.05,0.82,0.1
4,La Liga,2019,Leganes,159,38,8,12,18,30,51,11.32,3.92,15.55,4.13,3.34,0.11,0.79,0.13
5,Ligue 1,2019,Nimes,235,28,7,6,15,29,44,12.64,3.82,12.82,5.11,1.68,0.21,1.04,0.13
5,Ligue 1,2019,Saint-Etienne,175,28,8,6,14,29,45,10.93,3.64,13.25,5.0,2.18,0.11,1.04,0.13
5,Ligue 1,2019,Angers,167,28,11,6,11,28,33,12.93,4.04,12.0,5.21,1.57,0.07,1.0,0.14
5,Ligue 1,2019,Nantes,168,28,11,4,13,28,31,11.89,4.07,13.39,5.36,1.89,0.07,1.0,0.15
4,La Liga,2019,Espanyol,141,38,5,10,23,27,58,10.79,3.26,15.26,4.08,2.76,0.24,0.71,0.12
5,Ligue 1,2019,Dijon,181,28,7,9,12,27,37,12.0,3.68,12.54,4.36,1.61,0.07,0.96,0.14
5,Ligue 1,2019,Metz,180,28,8,10,10,27,35,11.07,3.57,12.04,4.25,1.68,0.14,0.96,0.13
2,Serie A,2019,SPAL 2013,221,38,5,5,28,27,77,12.32,3.29,13.97,4.16,2.63,0.08,0.71,0.12
5,Ligue 1,2019,Reims,177,28,10,11,7,26,21,11.75,3.21,13.68,5.11,2.04,0.18,0.93,0.12
1,Premier League,2019,Norwich,79,38,5,6,27,26,75,10.76,3.42,9.55,4.26,1.76,0.08,0.68,0.13
5,Ligue 1,2019,Toulouse,174,28,3,4,21,22,58,11.29,3.46,14.14,4.39,1.75,0.18,0.79,0.16
3,Bundesliga,2020,Bayern Munich,117,34,24,6,4,99,44,16.94,6.88,9.32,6.94,1.32,0.09,2.91,0.07
2,Serie A,2020,Atalanta,107,38,23,9,6,90,47,16.34,6.11,15.29,5.29,1.76,0.08,2.37,0.07
2,Serie A,2020,Inter,106,38,28,7,3,89,35,14.55,5.34,12.42,5.42,1.61,0.05,2.34,0.06
5,Ligue 1,2020,Paris Saint Germain,161,38,26,4,8,86,28,14.95,5.66,12.18,5.74,2.08,0.18,2.26,0.07
2,Serie A,2020,Napoli,105,38,24,5,9,86,41,17.03,6.0,10.21,5.76,2.0,0.08,2.26,0.07
4,La Liga,2020,Barcelona,148,38,24,7,7,85,38,15.32,6.37,9.39,5.71,1.89,0.05,2.24,0.07
1,Premier League,2020,Manchester City,88,38,27,5,6,83,32,15.79,5.76,9.5,6.5,1.21,0.05,2.18,0.07
5,Ligue 1,2020,Lyon,178,38,22,10,6,81,43,16.11,6.26,12.66,6.11,1.74,0.21,2.13,0.08
2,Serie A,2020,Juventus,98,38,23,9,6,77,38,15.61,5.68,13.26,5.79,2.11,0.16,2.03,0.07
5,Ligue 1,2020,Monaco,171,38,24,6,8,76,42,12.87,4.63,12.76,5.74,2.05,0.13,2.0,0.06
3,Bundesliga,2020,Borussia Dortmund,129,34,20,4,10,75,46,14.56,5.74,10.62,5.09,1.32,0.03,2.21,0.08
2,Serie A,2020,AC Milan,111,38,24,7,7,74,41,14.68,5.42,13.42,5.61,2.21,0.11,1.95,0.07
1,Premier League,2020,Manchester United,89,38,21,11,6,73,44,13.82,5.58,11.89,5.18,1.68,0.03,1.92,0.08
3,Bundesliga,2020,Eintracht Frankfurt,132,34,16,12,6,69,53,13.15,5.09,13.5,6.03,2.41,0.03,2.03,0.07
1,Premier League,2020,Leicester,75,38,20,6,12,68,50,12.71,4.82,10.95,5.63,1.58,0.0,1.79,0.07
1,Premier League,2020,Liverpool,87,38,20,9,9,68,42,16.0,5.63,10.42,6.84,1.05,0.0,1.79,0.08
1,Premier League,2020,Tottenham,82,38,18,8,12,68,45,11.68,4.63,11.55,4.42,1.39,0.05,1.79,0.07
2,Serie A,2020,Roma,95,38,18,9,11,68,55,14.32,5.26,14.5,5.76,2.39,0.08,1.79,0.08
4,La Liga,2020,Atletico Madrid,143,38,26,8,4,67,25,12.11,4.89,12.87,5.16,2.58,0.0,1.76,0.07
4,La Liga,2020,Real Madrid,150,38,25,9,4,67,28,14.37,4.61,10.71,5.92,1.58,0.05,1.76,0.07
3,Bundesliga,2020,Borussia M.Gladbach,130,34,13,10,11,64,56,13.35,5.21,11.56,5.21,1.79,0.06,1.88,0.08
5,Ligue 1,2020,Lille,160,38,24,11,3,64,23,12.79,4.84,12.82,4.84,1.79,0.05,1.68,0.08
2,Serie A,2020,Sassuolo,104,38,17,11,10,64,56,13.95,4.76,13.05,5.47,2.08,0.11,1.68,0.07
1,Premier League,2020,Leeds,245,38,18,5,15,62,54,13.74,5.24,11.24,6.08,1.61,0.03,1.63,0.08
1,Premier League,2020,West Ham,81,38,19,8,11,62,47,12.34,4.34,9.84,4.42,1.26,0.08,1.63,0.07
3,Bundesliga,2020,Wolfsburg,131,34,17,10,7,61,37,14.03,5.03,12.91,5.18,1.71,0.09,1.79,0.08
2,Serie A,2020,Lazio,96,38,21,5,12,61,55,13.82,4.89,13.24,4.97,2.82,0.13,1.61,0.08
3,Bundesliga,2020,RasenBallsport Leipzig,136,34,19,8,7,60,32,15.88,5.97,12.68,5.41,1.68,0.0,1.76,0.1
4,La Liga,2020,Villarreal,154,38,15,13,10,60,44,10.68,4.29,11.82,4.21,1.74,0.13,1.58,0.07
5,Ligue 1,2020,Montpellier,166,38,14,12,12,60,62,12.26,4.63,13.47,4.84,1.71,0.18,1.58,0.08
4,La Liga,2020,Real Sociedad,140,38,17,11,10,59,38,11.29,4.05,14.89,5.16,2.13,0.03,1.55,0.07
1,Premier League,2020,Chelsea,80,38,19,10,9,58,36,14.68,5.47,11.39,5.97,1.26,0.08,1.53,0.09
3,Bundesliga,2020,VfB Stuttgart,133,34,12,9,13,56,55,13.47,4.74,12.32,4.56,1.91,0.06,1.65,0.08
4,La Liga,2020,Celta Vigo,152,38,14,11,13,55,57,9.42,3.74,16.61,3.29,2.84,0.13,1.45,0.07
5,Ligue 1,2020,Lens,210,38,15,12,11,55,54,11.79,3.79,14.21,5.11,2.47,0.18,1.45,0.07
1,Premier League,2020,Arsenal,83,38,18,7,13,55,39,12.05,4.0,9.08,5.47,1.24,0.13,1.45,0.07
1,Premier League,2020,Aston Villa,71,38,16,7,15,55,46,13.71,4.92,11.55,5.66,1.66,0.08,1.45,0.09
5,Ligue 1,2020,Marseille,164,38,16,12,10,54,47,10.05,3.63,13.13,4.58,2.55,0.26,1.42,0.07
3,Bundesliga,2020,Bayer Leverkusen,119,34,14,10,10,53,39,13.06,4.97,12.68,5.41,1.71,0.0,1.56,0.09
4,La Liga,2020,Sevilla,138,38,24,5,9,53,33,12.11,3.79,12.95,4.39,2.05,0.05,1.39,0.07
3,Bundesliga,2020,Freiburg,135,34,12,9,13,52,52,11.5,4.41,12.88,3.62,1.85,0.0,1.53,0.08
3,Bundesliga,2020,Hoffenheim,120,34,11,10,13,52,54,12.59,4.62,13.0,4.59,1.88,0.12,1.53,0.09
5,Ligue 1,2020,Rennes,163,38,16,10,12,52,40,13.47,4.34,13.24,5.21,2.11,0.13,1.37,0.08
2,Serie A,2020,Sampdoria,102,38,15,7,16,52,54,11.21,3.71,13.32,5.21,2.18,0.08,1.37,0.07
2,Serie A,2020,Spezia,260,38,9,12,17,52,72,10.26,3.58,15.55,3.95,2.61,0.13,1.37,0.07
2,Serie A,2020,Bologna,97,38,10,11,17,51,65,13.08,4.74,14.0,5.29,2.18,0.11,1.34,0.09
3,Bundesliga,2020,Union Berlin,240,34,12,14,8,50,43,11.68,4.18,12.79,4.12,1.68,0.06,1.47,0.08
4,La Liga,2020,Real Betis,153,38,17,10,11,50,50,11.66,4.21,13.71,4.84,2.45,0.21,1.32,0.08
4,La Liga,2020,Valencia,146,38,10,13,15,50,53,10.39,3.71,12.08,4.29,2.16,0.13,1.32,0.07
5,Ligue 1,2020,Brest,241,38,11,8,19,50,66,11.82,4.18,12.92,4.76,1.63,0.11,1.32,0.08
5,Ligue 1,2020,Lorient,179,38,11,9,18,50,68,11.21,3.71,12.45,4.66,1.82,0.08,1.32,0.07
5,Ligue 1,2020,Nice,170,38,15,7,16,50,53,10.79,3.82,12.08,4.39,1.92,0.11,1.32,0.08
2,Serie A,2020,Torino,113,38,7,16,15,50,69,12.08,4.0,15.18,4.5,2.03,0.11,1.32,0.08
5,Ligue 1,2020,Strasbourg,225,38,11,9,18,49,58,11.45,3.82,13.11,4.34,1.53,0.08,1.29,0.08
4,La Liga,2020,Granada,155,38,13,7,18,47,65,9.39,3.29,14.03,3.39,2.58,0.16,1.24,0.07
5,Ligue 1,2020,Nantes,168,38,9,13,16,47,55,10.84,3.47,13.37,4.68,1.84,0.11,1.24,0.07
1,Premier League,2020,Everton,72,38,17,8,13,47,48,10.53,3.89,10.16,4.39,1.53,0.05,1.24,0.08
1,Premier League,2020,Southampton,74,38,12,7,19,47,68,11.13,4.42,11.21,4.68,1.37,0.08,1.24,0.09
2,Serie A,2020,Fiorentina,110,38,9,13,16,47,59,9.82,3.26,13.74,4.42,2.26,0.13,1.24,0.07
2,Serie A,2020,Genoa,101,38,10,12,16,47,58,8.95,3.32,13.61,3.39,2.32,0.05,1.24,0.07
4,La Liga,2020,Athletic Club,147,38,11,13,14,46,42,10.63,3.55,12.74,5.18,2.16,0.08,1.21,0.08
4,La Liga,2020,Levante,151,38,9,14,15,46,57,10.08,3.47,13.39,4.55,1.79,0.03,1.21,0.08
1,Premier League,2020,Newcastle United,86,38,12,9,17,46,62,10.42,3.74,10.21,4.24,1.61,0.08,1.21,0.08
2,Serie A,2020,Crotone,115,38,6,5,27,45,92,9.61,3.24,14.05,3.63,2.34,0.11,1.18,0.07
5,Ligue 1,2020,Metz,180,38,12,11,15,44,48,11.39,3.63,13.47,4.24,2.18,0.11,1.16,0.08
2,Serie A,2020,Cagliari,116,38,9,10,19,43,59,11.32,3.47,13.47,4.47,2.03,0.08,1.13,0.08
2,Serie A,2020,Verona,94,38,10,13,15,43,48,10.61,3.34,16.32,4.87,2.39,0.03,1.13,0.08
5,Ligue 1,2020,Bordeaux,176,38,13,6,19,42,56,11.05,3.74,12.24,4.58,2.05,0.11,1.11,0.09
5,Ligue 1,2020,Reims,177,38,9,15,14,42,50,9.55,3.34,11.61,3.84,2.03,0.21,1.11,0.08
5,Ligue 1,2020,Saint-Etienne,175,38,12,10,16,42,54,11.63,4.0,13.95,5.03,2.0,0.05,1.11,0.1
2,Serie A,2020,Udinese,99,38,10,10,18,42,58,10.92,3.47,13.39,4.29,1.71,0.05,1.11,0.08
3,Bundesliga,2020,Hertha Berlin,122,34,8,11,15,41,52,11.26,4.44,13.76,4.47,1.97,0.09,1.21,0.11
1,Premier League,2020,Crystal Palace,78,38,12,8,18,41,66,9.18,3.45,10.76,3.97,1.42,0.05,1.08,0.08
5,Ligue 1,2020,Angers,167,38,12,8,18,40,58,10.55,3.76,11.97,4.42,1.71,0.05,1.05,0.09
5,Ligue 1,2020,Nimes,235,38,9,8,21,40,71,10.26,3.68,11.11,4.24,1.61,0.13,1.05,0.09
1,Premier League,2020,Brighton,220,38,9,14,15,40,46,12.82,3.76,11.24,5.76,1.18,0.16,1.05,0.09
2,Serie A,2020,Benevento,222,38,7,12,19,40,75,11.0,3.55,13.13,4.45,2.5,0.13,1.05,0.09
3,Bundesliga,2020,Mainz 05,125,34,10,9,15,39,56,11.12,4.09,14.88,3.82,1.85,0.03,1.15,0.1
2,Serie A,2020,Parma Calcio 1913,230,38,3,11,24,39,83,10.5,3.42,13.82,4.05,2.39,0.03,1.03,0.09
4,La Liga,2020,Osasuna,157,38,11,11,16,37,48,9.84,3.24,14.08,3.08,2.11,0.13,0.97,0.09
3,Bundesliga,2020,Augsburg,121,34,10,6,18,36,54,9.91,3.32,11.53,3.56,2.09,0.12,1.06,0.09
3,Bundesliga,2020,Werder Bremen,123,34,7,10,17,36,57,10.59,3.71,11.56,3.44,1.97,0.09,1.06,0.1
4,La Liga,2020,Alaves,158,38,9,11,18,36,57,9.16,2.74,13.47,3.74,2.55,0.21,0.95,0.08
4,La Liga,2020,Cadiz,261,38,11,11,16,36,58,7.97,2.68,11.45,3.92,2.11,0.08,0.95,0.07
1,Premier League,2020,Wolverhampton Wanderers,229,38,12,9,17,36,52,12.21,4.08,11.18,5.5,1.39,0.0,0.95,0.11
1,Premier League,2020,West Bromwich Albion,76,38,5,11,22,35,76,8.92,2.95,10.63,3.82,1.34,0.11,0.92,0.08
3,Bundesliga,2020,FC Cologne,134,34,8,9,17,34,60,10.65,3.18,12.44,3.97,1.79,0.03,1.0,0.09
4,La Liga,2020,Elche,207,38,8,12,18,34,55,7.05,2.37,13.84,3.63,2.61,0.08,0.89,0.07
4,La Liga,2020,Real Valladolid,231,38,5,16,17,34,57,9.66,3.13,13.42,3.82,2.45,0.11,0.89,0.09
4,La Liga,2020,SD Huesca,232,38,7,13,18,34,53,10.63,3.55,13.89,4.11,1.84,0.05,0.89,0.1
1,Premier League,2020,Burnley,92,38,10,9,19,33,55,10.11,3.42,10.11,4.53,1.26,0.0,0.87,0.1
4,La Liga,2020,Eibar,156,38,6,12,20,29,52,11.89,3.58,13.0,5.21,1.84,0.08,0.76,0.12
4,La Liga,2020,Getafe,142,38,9,11,18,28,43,9.53,2.82,16.58,3.76,3.13,0.21,0.74,0.1
1,Premier League,2020,Fulham,228,38,5,13,20,27,53,11.63,3.55,12.74,4.32,1.74,0.08,0.71,0.13
3,Bundesliga,2020,Arminia Bielefeld,262,34,9,8,17,26,52,9.82,3.0,11.5,3.47,1.5,0.03,0.76,0.12
3,Bundesliga,2020,Schalke 04,124,34,3,7,24,25,86,8.88,2.5,12.26,3.65,2.18,0.06,0.74,0.1
5,Ligue 1,2020,Dijon,181,38,4,9,25,25,73,9.21,2.45,13.5,3.84,2.03,0.13,0.66,0.1
1,Premier League,2020,Sheffield United,238,38,7,2,29,20,63,8.58,2.66,12.08,4.5,1.92,0.08,0.53,0.13
