playerID,Player_Name,teamID,Team_Name,leagueID,League_Name,season,Games_Played,Total_Goals,Total_Assists,Total_Shots,Shots_Converted_Perc,Goals_Per_Game
1186,Andrea Belotti,113,Torino,2,Serie A,2016,35,26,7,130,20.0,0.74
2290,Iago Aspas,152,Celta Vigo,4,La Liga,2018,27,20,6,70,28.999999999999996,0.74
356,Alexander Meier,132,Eintracht Frankfurt,3,Bundesliga,2014,26,19,2,80,24.0,0.73
3577,Cheick Diabaté,222,Benevento,2,Serie A,2017,11,8,0,19,42.0,0.73
696,Falcao,171,Monaco,5,Ligue 1,2016,29,21,5,80,26.0,0.72
956,Andrej Kramaric,120,Hoffenheim,3,Bundesliga,2020,28,20,5,95,21.0,0.71
1513,Mauro Icardi,106,Inter,2,Serie A,2016,34,24,8,109,22.0,0.71
2099,Neymar,148,Barcelona,4,La Liga,2015,34,24,12,124,19.0,0.71
1230,Fabio Quagliarella,102,Sampdoria,2,Serie A,2018,37,26,8,140,19.0,0.7
1678,Michy Batshuayi,129,Borussia Dortmund,3,Bundesliga,2017,10,7,1,29,24.0,0.7
2120,Gerard Moreno,154,Villarreal,4,La Liga,2020,33,23,7,98,23.0,0.7
5543,Gabriel Jesus,88,Manchester City,1,Premier League,2016,10,7,4,24,28.999999999999996,0.7
555,Memphis Depay,178,Lyon,5,Ligue 1,2019,13,9,2,48,19.0,0.69
696,Falcao,171,Monaco,5,Ligue 1,2017,26,18,4,70,26.0,0.69
2380,Paco Alcácer,129,Borussia Dortmund,3,Bundesliga,2018,26,18,0,52,35.0,0.69
3210,Wissam Ben Yedder,171,Monaco,5,Ligue 1,2019,26,18,4,64,28.000000000000004,0.69
65,Timo Werner,136,RasenBallsport Leipzig,3,Bundesliga,2016,31,21,5,74,28.000000000000004,0.68
594,Romelu Lukaku,72,Everton,1,Premier League,2016,37,25,6,110,23.0,0.68
2370,Karim Benzema,150,Real Madrid,4,La Liga,2020,34,23,9,123,19.0,0.68
2371,Cristiano Ronaldo,98,Juventus,2,Serie A,2018,31,21,8,175,12.0,0.68
7090,Krzysztof Piatek,101,Genoa,2,Serie A,2018,19,13,0,77,17.0,0.68
227,Robert Lewandowski,117,Bayern Munich,3,Bundesliga,2018,33,22,7,144,15.0,0.67
594,Romelu Lukaku,106,Inter,2,Serie A,2020,36,24,11,97,25.0,0.67
619,Sergio Agüero,88,Manchester City,1,Premier League,2019,24,16,3,76,21.0,0.67
755,Jamie Vardy,75,Leicester,1,Premier League,2015,36,24,6,115,21.0,0.67
1294,Paulo Dybala,98,Juventus,2,Serie A,2017,33,22,5,114,19.0,0.67
2099,Neymar,148,Barcelona,4,La Liga,2014,33,22,7,95,23.0,0.67
647,Harry Kane,82,Tottenham,1,Premier League,2015,38,25,1,159,16.0,0.66
647,Harry Kane,82,Tottenham,1,Premier League,2020,35,23,14,138,17.0,0.66
755,Jamie Vardy,75,Leicester,1,Premier League,2019,35,23,5,89,26.0,0.66
2098,Luis Suárez,143,Atletico Madrid,4,La Liga,2020,32,21,3,104,20.0,0.66
155,Max Kruse,123,Werder Bremen,3,Bundesliga,2016,23,15,7,41,37.0,0.65
224,Thomas Müller,117,Bayern Munich,3,Bundesliga,2015,31,20,5,94,21.0,0.65
619,Sergio Agüero,88,Manchester City,1,Premier League,2016,31,20,3,139,14.000000000000002,0.65
717,Bafétimbi Gomis,164,Marseille,5,Ligue 1,2016,31,20,3,91,22.0,0.65
